tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,runtimeMinutes,genres,averageRating,numVotes
tt0103776,movie,Batman Returns,Batman Returns,0,1992,126,"Action,Crime,Fantasy",7.1,336439
tt0103786,movie,Beethoven,Beethoven,0,1992,87,"Comedy,Drama,Family",5.7,78132
tt0103791,movie,Belle Epoque,Belle Epoque,0,1992,109,"Comedy,Drama,Romance",7.1,11631
tt0103793,movie,Benny's Video,Benny's Video,0,1992,110,"Crime,Drama",7.1,19438
tt0103850,movie,Bob Roberts,Bob Roberts,0,1992,102,"Comedy,Drama",7.0,15876
tt0103855,movie,The Bodyguard,The Bodyguard,0,1992,129,"Drama,Music,Romance",6.4,151890
tt0103859,movie,Boomerang,Boomerang,0,1992,117,"Comedy,Drama,Romance",5.6,32119
tt0103873,movie,Dead Alive,Braindead,0,1992,104,"Comedy,Fantasy,Horror",7.5,105775
tt0103874,movie,Bram Stoker's Dracula,Bram Stoker's Dracula,0,1992,128,"Fantasy,Horror,Romance",7.4,249570
tt0103893,movie,Buffy the Vampire Slayer,Buffy the Vampire Slayer,0,1992,86,"Action,Comedy,Fantasy",5.7,51054
tt0103905,movie,Man Bites Dog,C'est arrivé près de chez vous,0,1992,95,"Comedy,Crime,Drama",7.4,44561
tt0103919,movie,Candyman,Candyman,0,1992,99,"Horror,Thriller",6.7,103952
tt0103923,movie,Captain America,Captain America,0,1990,97,"Action,Adventure,Sci-Fi",3.2,15468
tt0103924,movie,Captain Ron,Captain Ron,0,1992,100,"Adventure,Comedy",5.8,23558
tt0103939,movie,Chaplin,Chaplin,0,1992,143,"Biography,Comedy,Drama",7.5,63469
tt0103950,movie,City Hunter,Sing si lip yan,0,1993,100,"Action,Comedy,Crime",6.3,12839
tt0103956,movie,Child's Play 3,Child's Play 3,0,1991,90,"Horror,Thriller",5.2,48255
tt0103994,movie,Like Water for Chocolate,Como agua para chocolate,0,1992,105,"Drama,Romance",7.1,19494
tt0104009,movie,Cool World,Cool World,0,1992,102,"Animation,Comedy,Fantasy",4.8,25566
tt0104029,movie,Cronos,Cronos,0,1992,94,"Drama,Fantasy,Horror",6.7,33978
tt0104036,movie,The Crying Game,The Crying Game,0,1992,112,"Crime,Drama,Romance",7.2,61198
tt0104040,movie,The Cutting Edge,The Cutting Edge,0,1992,101,"Comedy,Drama,Romance",6.9,23060
tt0104070,movie,Death Becomes Her,Death Becomes Her,0,1992,104,"Comedy,Fantasy,Horror",6.7,139119
tt0104073,movie,Deep Cover,Deep Cover,0,1992,107,"Action,Crime,Thriller",7.0,14806
tt0104114,movie,The Distinguished Gentleman,The Distinguished Gentleman,0,1992,112,"Comedy,Crime",5.9,17279
tt0104181,movie,Wuthering Heights,Wuthering Heights,0,1992,105,"Drama,History,Romance",6.6,14628
tt0104187,movie,Encino Man,Encino Man,0,1992,88,Comedy,5.8,46346
tt0104231,movie,Far and Away,Far and Away,0,1992,140,"Adventure,Drama,Romance",6.6,69695
tt0104237,movie,Damage,Damage,0,1992,111,"Drama,Romance",6.7,21147
tt0104254,movie,FernGully: The Last Rainforest,FernGully: The Last Rainforest,0,1992,76,"Adventure,Animation,Family",6.5,35142
tt0104257,movie,A Few Good Men,A Few Good Men,0,1992,138,"Drama,Thriller",7.7,296980
tt0104265,movie,Final Analysis,Final Analysis,0,1992,124,"Drama,Thriller",5.9,15666
